GDPR Sensitive,Notes,Event Code Legacy,Hybride,ActionEventCode Hybride,Status,N/A in V2,Wish list,Stack V2,Stack V1,Action,Capacity,Applications,Actor,Entities,Service,Business Criticity,Activity,API v1 Call,API v1 Note,API v1 Verb,Event tracked since,Criticity of Capacity
No,,,No,,,No,No,No,Yes,Write FAQs,https://www.notion.so/Provide-FlatGuide-Documentation-9f8dc617736c40549d4e596adf4b02c8,https://www.notion.so/cc9b8d62b15347c3ad8c22e50622d6a6,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,https://www.notion.so/FAQ-9f8f5daee9f74314beecf0f90e07d5e9,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,Yes,Yes,Write notes on FG Prospects,https://www.notion.so/Sign-Up-FlatGuide-fa8365ecb8964d7fbac4e1568a493e25,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,No,Yes,Write Visit Report,https://www.notion.so/Manage-FlatGuide-Visits-18c3ee43a79b4145a31ccde6a1668ddc,https://www.notion.so/FlatGuide-App-c90e959f40264e73b351781212bcc703,https://www.notion.so/Flat-Guide-d466759d44bf4efe995c7eeb0f3a29ca,,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,No,,,No,No,No,No,Remove Calendar Sync,https://www.notion.so/Remove-Accounts-d03d8415252b4d83ae38d9755e06c36a,https://www.notion.so/System-a442820512ae45018533137327ea246b,https://www.notion.so/System-e0b952212bc04e8f916b85e089411309,,,,https://www.notion.so/a37139b96ea448588075ceccf988a2c9,,,,,
No,,,No,,,No,Yes,No,No,Marketing Reporting of Campaign with CA per customers,,,https://www.notion.so/Marketing-Staff-d75e47f013e74408bd16d448834c6c94,,,,,,,,,
No,,,No,,,No,No,No,Yes,Send Notification with Visit Validation Code to Applicant (H-2),https://www.notion.so/Manage-Visits-ed81ab4cab0b4251afa332531aaec3db,https://www.notion.so/System-a442820512ae45018533137327ea246b,https://www.notion.so/System-e0b952212bc04e8f916b85e089411309,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Critical
No,Via a bot,,No,,,No,No,No,Yes,Provide Visit Validation Code to FG,https://www.notion.so/Manage-FlatGuide-Visits-18c3ee43a79b4145a31ccde6a1668ddc,https://www.notion.so/Intercom-9479272b733c417a9158c324706e5610,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Critical
No,,,Yes,"FileProcessed, FileProcessingFailed",,No,No,No,No,Transform FG Prospect File to Image,https://www.notion.so/Sign-Up-FlatGuide-fa8365ecb8964d7fbac4e1568a493e25,https://www.notion.so/System-a442820512ae45018533137327ea246b,https://www.notion.so/System-e0b952212bc04e8f916b85e089411309,https://www.notion.so/Prospect-14e8653c71804f53902240eb824c0874,https://www.notion.so/FlatGuide-824bd55c53aa4bb4a4a586de73229866,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,,,,,Light
No,,,No,,,No,No,No,Yes,View Sales Dashboards,https://www.notion.so/Reporting-5447767cfb1e4aec85a47d2cad5cb86b,https://www.notion.so/Metabase-e396630284834cf6a1a4bdad8159e2a5,https://www.notion.so/Sales-Staff-cea12272506b498da5c145d4dd10cb0a,https://www.notion.so/Customer-893f3f582d434a19a7f602b1ea65b4d1,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Light
No,,,No,,,No,No,No,Yes,View Customer KPIs,https://www.notion.so/Reporting-5447767cfb1e4aec85a47d2cad5cb86b,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Sales-Staff-cea12272506b498da5c145d4dd10cb0a,https://www.notion.so/Customer-893f3f582d434a19a7f602b1ea65b4d1,,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,,Light
